RefID,Authors,Year,Title,Reference_Full,Measurement device(s),Notes on the inclusion of scales in the database,doi,crossref_title,crossref_authors,crossref_year,crossref_journal,crossref_volume,crossref_issue,crossref_page,crossref_publisher,crossref_type,best_title,best_authors,best_year,best_reference
51,Minana Blasco,1990,Afinacion de las marimbas en la costa paciica colombiana: Un ejemplo de la memoria interv+AOE-lica africana en colombia,C. Minana Blasco. Afinacion de las marimbas en la costa pacifiica colombiana: Un ejemplo de la memoria intervalica africana en colombia. 1990,Not mentioned,,,,,,,,,,,,Afinacion de las marimbas en la costa paciica colombiana: Un ejemplo de la memoria interv+AOE-lica africana en colombia,Minana Blasco,1990,C. Minana Blasco. Afinacion de las marimbas en la costa pacifiica colombiana: Un ejemplo de la memoria intervalica africana en colombia. 1990
52,"Sundberg, Tjernlund",1969,Computer measurements of the tone scale in performed music by means of frequency histograms,"J. Sundberg and P. Tjernlund. Computer measurements of the tone scale in performed music by means of frequency histograms. STL-QPS, 10(2-3):33-35, 1969",Computational,,,,,,,,,,,,Computer measurements of the tone scale in performed music by means of frequency histograms,"Sundberg, Tjernlund",1969,"J. Sundberg and P. Tjernlund. Computer measurements of the tone scale in performed music by means of frequency histograms. STL-QPS, 10(2-3):33-35, 1969"
53,Copeland,2018,Pitch and tuning in beninese brass bands,"Lyndsey Copeland. Pitch and tuning in beninese brass bands. Ethnomusicology Forum, 27(2):213-240, 2018. doi: 10.1080/17411912.2018.1518151",Computational,"This source only provided absolute frequencies for notes in some recorded songs, along with transcriptions. I myself converted these into exact scales; methodology and code will be published in github repo along with paper.",10.1080/17411912.2018.1518151,Pitch and tuning in Beninese brass bands,"Copeland, Lyndsey",2018,Ethnomusicology Forum,27,2,213-240,Informa UK Limited,journal-article,Pitch and tuning in Beninese brass bands,"Copeland, Lyndsey",2018,"Copeland, Lyndsey (2018). Pitch and tuning in Beninese brass bands. Ethnomusicology Forum, 27(2):213-240."
54,Miller,1985,Traditional Music of the Lao: Kaen Playing and Mawlum Singing in Northeast Thailand,"T. E. Miller. Traditional Music of the Lao: Kaen Playing and Mawlum Singing in Northeast Thailand. Number 13. Praeger, 1985",Stroboconn,,,,,,,,,,,,Traditional Music of the Lao: Kaen Playing and Mawlum Singing in Northeast Thailand,Miller,1985,"T. E. Miller. Traditional Music of the Lao: Kaen Playing and Mawlum Singing in Northeast Thailand. Number 13. Praeger, 1985"
55,"Scherbaum, Mzhavanadze, Arom, Rosenweig, Muller",2020,"Tonal Organization of the Erkomaishvili Dataset: Pitches, Scales, Melodies and Harmonies.","Frank Scherbaum, Nana Mzhavanadze, Simha Arom, Sebastian Rosenzweig, and Meinard Muller. Tonal Organization of the Erkomaishvili Dataset: Pitches, Scales, Melodies and Harmonies.",Computational,,,,,,,,,,,,"Tonal Organization of the Erkomaishvili Dataset: Pitches, Scales, Melodies and Harmonies.","Scherbaum, Mzhavanadze, Arom, Rosenweig, Muller",2020,"Frank Scherbaum, Nana Mzhavanadze, Simha Arom, Sebastian Rosenzweig, and Meinard Muller. Tonal Organization of the Erkomaishvili Dataset: Pitches, Scales, Melodies and Harmonies."
56,"Mzhavanadze, Scherbaum",2020,Svan funeral dirges (zar): Musical acoustical analysis of a new collection of field recordings,"N. Mzhavanadze and F. Scherbaum. Svan funeral dirges (zar): Musical acoustical analysis of a new collection of field recordings. Musicologist, 4(2):138-167, 2020. doi: 10.33906/musicologist.782094",Computational,,10.33906/musicologist.782094,Svan Funeral Dirges (Zär): Musical Acoustical Analysis of a New Collection of Field Recordings,"SCHERBAUM, Frank; MZHAVANADZE, Nana",2020,Musicologist,4,2,138-167,Musicologist,journal-article,Svan Funeral Dirges (Zär): Musical Acoustical Analysis of a New Collection of Field Recordings,"Scherbaum, Frank; Mzhavanadze, Nana",2020,"Scherbaum, Frank; Mzhavanadze, Nana (2020). Svan Funeral Dirges (Zär): Musical Acoustical Analysis of a New Collection of Field Recordings. Musicologist, 4(2):138-167."
57,"Mokhtar, Mosharrafa",1937,Modes in modern egyptian music,"M. Mokhtar and A. M. Mosharrafa. Modes in modern egyptian music. Nature, 140(3543):548-549, 1937. doi: 10.1038/140548b0",'audio-frequency valve oscillator to which a calibration curve was plotted by means of a set of standard tuning forks',,10.1038/140548b0,Modes in Modern Egyptian Music,"MOKHTAR, M.; MOSHARRAFA, A. M.",1937,Nature,140,3543,548-549,Springer Science and Business Media LLC,journal-article,Modes in Modern Egyptian Music,"Mokhtar, M.; Mosharrafa, A. M.",1937,"Mokhtar, M.; Mosharrafa, A. M. (1937). Modes in Modern Egyptian Music. Nature, 140(3543):548-549."
58,Tan,2011,Ney Ackisinin Tarihi Ve Teknik Gelisimi,"A. Tan. Ney Ackisinin Tarihi Ve Teknik Gelisimi. Yayınlanmamıs Doktora Tezi. Marmara Universitesi, Sosyal Bilimler Enstitusu, Istanbul, 2011",N/A,N/A,,,,,,,,,,,Ney Ackisinin Tarihi Ve Teknik Gelisimi,Tan,2011,"A. Tan. Ney Ackisinin Tarihi Ve Teknik Gelisimi. Yayınlanmamıs Doktora Tezi. Marmara Universitesi, Sosyal Bilimler Enstitusu, Istanbul, 2011"
59,Mendes,2012,Fe no pife: as flautas de pifano no contexto cultural da banda cabacal dos Irmaos Aniceto,M. Mendes. Fe no pife: as flautas de pifano no contexto cultural da banda cabacal dos Irmaos Aniceto,Computational; audacity,"Not completely sure about whether this comes from recordings of instruments (which I normally list as 'Measured: Instrument'), or from a recording of melodies, but it seems to be the former.",,,,,,,,,,,Fe no pife: as flautas de pifano no contexto cultural da banda cabacal dos Irmaos Aniceto,Mendes,2012,M. Mendes. Fe no pife: as flautas de pifano no contexto cultural da banda cabacal dos Irmaos Aniceto
60,"Pantelli, Purwins",2013,"A quantitative comparison of chrysanthine theory and performance practice of scale tuning, steps, and prominence of the octoechos in byzantine chant","Maria Panteli and Hendrik Purwins. A quantitative comparison of chrysanthine theory and performance practice of scale tuning, steps, and prominence of the octoechos in byzantine chant. J. New Music Res., 42(3):205-221, 2013. doi: 10.1080/09298215. 2013.827215",Computational,,10.1080/09298215.2013.827215,"A Quantitative Comparison of Chrysanthine Theory and Performance Practice of Scale Tuning, Steps, and Prominence of the Octoechos in Byzantine Chant","Panteli, Maria; Purwins, Hendrik",2013,Journal of New Music Research,42,3,205-221,Informa UK Limited,journal-article,"A Quantitative Comparison of Chrysanthine Theory and Performance Practice of Scale Tuning, Steps, and Prominence of the Octoechos in Byzantine Chant","Panteli, Maria; Purwins, Hendrik",2013,"Panteli, Maria; Purwins, Hendrik (2013). A Quantitative Comparison of Chrysanthine Theory and Performance Practice of Scale Tuning, Steps, and Prominence of the Octoechos in Byzantine Chant. Journal of New Music Research, 42(3):205-221."
