directory,scl_file,notes,period,just,limit,description,tones,reference
mailing-lists,Secor17-ZRT.scl,17,1200.0,True,401,"George Secor's 17-tone Zany Rational Temperament, 27 Jan 2012",555/536 289/268 75/67 157/134 163/134 2015/1608 802/603 369/268 5075/3618 401/268 835/536 869/536 1010/603 1064/603 981/536 15/8 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_102422.html#103307
mailing-lists,14_13-parapyth17.scl,17,1200.0,False,0,Interpretation of Jake Freivald's Cantonpenta with just 14/13 ,58.78569 128.29824 208.08521 266.87091 346.65787 416.17042 474.95612 554.74309 624.25563 704.04260 762.82830 842.61527 912.12782 970.91351 1050.70048 1120.21303 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_105023.html#105143
mailing-lists,17-tET.scl,17,1200.0,False,0,17-EDO,70.58824 141.17647 211.76471 282.35294 352.94118 423.52941 494.11765 564.70588 635.29412 705.88235 776.47059 847.05882 917.64706 988.23529 1058.82353 1129.41176 2/1,https://yahootuninggroupsultimatebackup.github.io/makemicromusic/topicId_13517.html#13517
mailing-lists,17wt.scl,17,1200.0,False,0,Well Temperament 17 - George Secor,66.741 144.856 214.441 278.339 353.610 428.882 492.780 562.364 640.479 707.220 771.118 849.233 921.661 985.559 1057.987 1136.102 2/1,https://yahootuninggroupsultimatebackup.github.io/makemicromusic/topicId_14872.html#14993
mailing-lists,705-17.scl,17,1200.0,False,0,"17-note MOS, fifth 705 cents, near-just 13/8",75.00000 135.00000 210.00000 285.00000 345.00000 420.00000 495.00000 570.00000 630.00000 705.00000 780.00000 840.00000 915.00000 990.00000 1050.00000 1125.00000 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_106275.html#106303
mailing-lists,Tolerant-Secor-17.scl,17,1200.0,False,0,"Tolerant temperament (rank 3: 324:325, 351:352, 363:364), Secor 17 ""triple delight"" mapping",28.76023 138.67803 207.53697 265.05742 346.21500 5/4 496.23152 553.75197 611.27242 703.76849 732.52871 842.44651 882.54523 7/4 1049.98348 1090.0822 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_105210.html#105306
mailing-lists,breed-46-17-41-parapyth17.scl,17,1200.0,False,0,Graham Breed 17-note parapyth (key 14 like pipedum_17c.scl),57.42250 126.06252 207.44643 264.86893 346.25284 414.89287 472.31537 553.69928 622.33931 703.72322 761.14571 842.52963 911.16965 968.59215 1049.97606 1118.61609 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_105023.html#105143
mailing-lists,dwarf17marveq.scl,17,1200.0,False,0,Semimarvelous dwarf: equal beating dwarf(<17 27 40|),70.247930173690388400 115.13195688812420070 185.37988706181458910 269.90670087373119520 314.79072758816500750 385.03865776185539590 500.17061464997959660 570.41854482366998500 615.30257153810379730 699.82938535002040340 770.07731552371079180 814.96134223814460410 885.20927241183499250 955.45720258552538090 1000.3412292999591932 1084.8680431118757993 1200.0000000000000000,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_89072.html#89097
mailing-lists,hans_tcp.scl,17,1200.0,False,0,Hanson tetradic comma pump,497.56810 385.35992 882.92802 180.49612 68.28793 565.85603 1063.42413 951.21595 248.78405 746.35215 634.14397 1131.71207 1019.50388 317.07198 814.64008 702.43190 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_100759.html#100759
mailing-lists,jsmith17.scl,17,1200.0,False,0,J. Smith 17-note well-temperament,71. 137. 208. 288. 345. 416. 496. 567. 633. 704. 784. 841. 912. 992. 1049. 1120. 1200.,https://yahootuninggroupsultimatebackup.github.io/makemicromusic/topicId_15499.html#15502
mailing-lists,laka-dwarf.scl,17,1200.0,False,0,Laka tempered (205et) dwarf(<17 27 40 48 59 63 70|),52.68293 105.36585 204.87805 245.85366 345.36585 386.34146 474.14634 550.24390 591.21951 702.43902 743.41463 842.92683 907.31707 971.70732 1047.80488 1088.78049 2/1,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_101682.html#101684
mailing-lists,leapday17.scl,17,1200.0,False,0,Leapday[17] in 46-et tuning,78.260870 130.434783 208.695652 286.956522 339.130435 417.391304 495.652174 573.913043 626.086957 704.347826 782.608696 834.782609 913.043478 991.304348 1043.478261 1121.739130 1200.000000,https://yahootuninggroupsultimatebackup.github.io/makemicromusic/topicId_15499.html#15502
